,trial,trialnam,year,tot1,dead1,tot0,dead0
1,1,Morton,1984,40,1,36,2
2,2,Rasmussen,1986,135,9,135,23
3,3,Smith,1986,200,2,200,7
4,4,Abraham,1987,48,1,46,1
5,5,Feldstedt,1988,150,10,148,8
6,6,Schechter,1989,59,1,56,9
7,7,Ceremuzynski,1989,25,1,23,3
8,8,Bertschat,1989,22,0,21,1
9,9,Singh,1990,76,6,75,11
10,10,Pereira,1990,27,1,27,7
11,11,Golf,1991,23,5,33,13
12,12,Thogersen,1991,130,4,122,8
13,13,LIMIT-2,1992,1159,90,1157,118
14,14,Schechter 2,1995,107,4,108,17
15,15,ISIS-4,1995,29011,2216,29039,2103
